Id,lotArea,quality,condition,BsmtSF,floorOneSF,floorTwoSF,bsmtFullBath,noRooms,firePlaces,garageCars,woodDeckSF,salePrice
1,8450,7,5,856,856,854,1,8,0,2,0,208500
2,9600,6,8,1262,1262,0,0,6,1,2,298,181500
3,11250,7,5,920,920,866,1,6,1,2,0,223500
4,9550,7,5,756,961,756,1,7,1,3,0,140000
5,14260,8,5,1145,1145,1053,1,9,1,3,192,250000
6,14115,5,5,796,796,566,1,5,0,2,40,143000
7,10084,8,5,1686,1694,0,1,7,1,2,255,307000
8,10382,7,6,1107,1107,983,1,7,2,2,235,200000
9,6120,7,5,952,1022,752,0,8,2,2,90,129900
10,7420,5,6,991,1077,0,1,5,2,1,0,118000
11,11200,5,5,1040,1040,0,1,5,0,1,0,129500
12,11924,9,5,1175,1182,1142,1,11,2,3,147,345000
13,12968,5,6,912,912,0,1,4,0,1,140,144000
14,10652,7,5,1494,1494,0,0,7,1,3,160,279500
15,10920,6,5,1253,1253,0,1,5,1,1,0,157000
16,6120,7,8,832,854,0,0,5,0,2,48,132000
17,11241,6,7,1004,1004,0,1,5,1,2,0,149000
18,10791,4,5,0,1296,0,0,6,0,2,0,90000
19,13695,5,5,1114,1114,0,1,6,0,2,0,159000
20,7560,5,6,1029,1339,0,0,6,0,1,0,139000
21,14215,8,5,1158,1158,1218,0,9,1,3,240,325300
22,7449,7,7,637,1108,0,0,6,1,1,0,139400
23,9742,8,5,1777,1795,0,0,7,1,2,171,230000
24,4224,5,7,1040,1060,0,1,6,1,2,100,129900
25,8246,5,8,1060,1060,0,1,6,1,1,406,154000
26,14230,8,5,1566,1600,0,0,7,1,3,0,256300
27,7200,5,7,900,900,0,0,5,0,2,222,134800
28,11478,8,5,1704,1704,0,1,7,1,3,0,306000
29,16321,5,6,1484,1600,0,1,6,2,1,288,207500
30,6324,4,6,520,520,0,0,4,0,1,49,68500
31,8500,4,4,649,649,668,0,6,0,1,0,40000
32,8544,5,6,1228,1228,0,0,6,0,1,0,149350
33,11049,8,5,1234,1234,0,0,7,0,2,0,179900
34,10552,5,5,1398,1700,0,0,6,1,2,0,165500
35,7313,9,5,1561,1561,0,1,6,1,2,203,277500
36,13418,8,5,1117,1132,1320,0,9,1,3,113,309000
37,10859,5,5,1097,1097,0,0,6,0,2,392,145000
38,8532,5,6,1297,1297,0,0,5,1,2,0,153000
39,7922,5,7,1057,1057,0,1,5,0,1,0,109000
40,6040,4,5,0,1152,0,0,6,0,0,0,82000
41,8658,6,5,1088,1324,0,0,6,1,2,0,160000
42,16905,5,6,1350,1328,0,0,5,2,1,0,170000
43,9180,5,7,840,884,0,1,5,0,2,240,144000
44,9200,5,6,938,938,0,1,5,0,1,145,130250
45,7945,5,6,1150,1150,0,1,6,0,1,0,141000
46,7658,9,5,1752,1752,0,1,6,1,2,196,319900
47,12822,7,5,1434,1518,631,1,6,1,2,168,239686
48,11096,8,5,1656,1656,0,0,7,0,3,0,249700
49,4456,4,5,736,736,716,0,8,0,0,0,113000
50,7742,5,7,955,955,0,1,6,0,1,0,127000
51,13869,6,6,794,794,676,0,6,0,2,0,177000
52,6240,6,6,816,816,0,0,6,1,2,112,114500
53,8472,5,5,816,816,0,1,5,0,2,106,110000
54,50271,9,5,1842,1842,0,2,5,1,3,857,385000
55,7134,5,5,384,1360,0,0,6,1,2,0,130000
56,10175,6,5,1425,1425,0,0,7,1,2,0,180500
57,2645,8,5,970,983,756,1,7,0,2,115,172500
58,11645,7,5,860,860,860,0,7,0,2,0,196500
59,13682,10,5,1410,1426,1519,0,10,1,3,192,438780
60,7200,5,7,780,780,0,0,4,0,1,196,124900
61,13072,6,5,1158,1158,0,1,5,0,2,0,158000
62,7200,5,7,530,581,530,0,6,0,1,0,101000
63,6442,8,5,1370,1370,0,0,6,1,2,120,202500
64,10300,7,6,576,902,808,0,9,0,2,12,140000
65,9375,7,5,1057,1057,977,1,8,0,2,576,219500
66,9591,8,5,1143,1143,1330,0,9,1,3,192,317000
67,19900,7,5,1947,2207,0,1,7,1,2,301,180000
68,10665,7,5,1453,1479,0,1,7,0,2,144,226000
69,4608,4,6,747,747,0,0,4,0,1,0,80000
70,15593,7,4,1304,1304,983,0,7,1,2,0,225000
71,13651,7,6,2223,2223,0,1,8,2,2,300,244000
72,7599,4,6,845,845,0,1,4,0,2,0,129500
73,10141,7,5,832,885,833,0,7,1,2,0,185000
74,10200,5,7,1086,1086,0,1,6,0,2,0,144900
75,5790,3,6,840,840,765,0,8,0,1,0,107400
76,1596,4,5,462,526,462,1,5,0,1,120,91000
77,8475,4,7,952,952,0,0,4,0,1,0,135750
78,8635,5,5,672,1072,213,1,6,0,1,0,127000
79,10778,4,5,1768,1768,0,0,8,0,0,0,136500
80,10440,5,6,440,682,548,0,5,0,2,74,110000
81,13000,6,6,896,1182,960,0,8,1,1,0,193500
82,4500,6,5,1237,1337,0,1,5,0,2,0,153500
83,10206,8,5,1563,1563,0,0,6,1,3,144,245000
84,8892,5,5,1065,1065,0,0,6,0,2,74,126500
85,8530,7,5,384,804,670,0,7,1,2,120,168500
86,16059,8,5,1288,1301,1116,0,9,1,2,127,260000
87,11911,6,5,684,684,876,0,6,1,2,100,174000
88,3951,6,5,612,612,612,0,4,0,2,0,164500
89,8470,3,2,1013,1013,0,0,6,0,0,0,85000
90,8070,4,5,990,990,0,1,5,0,0,0,123600
91,7200,4,5,0,1040,0,0,4,0,2,0,109900
92,8500,5,3,1235,1235,0,0,6,0,2,0,98600
93,13360,5,7,876,964,0,1,5,0,2,0,163500
94,7200,6,6,1214,1260,1031,0,9,1,2,0,133900
95,9337,6,5,824,905,881,1,7,0,2,0,204750
96,9765,6,8,680,680,790,0,6,1,2,232,185000
97,10264,7,5,1588,1588,0,0,6,0,2,158,214000
98,10921,4,5,960,960,0,1,6,0,1,120,94750
99,10625,5,5,458,835,0,0,5,0,1,0,83000
100,9320,4,5,950,1225,0,1,6,0,0,352,128950
101,10603,6,7,1610,1610,0,1,6,2,2,168,205000
102,9206,6,5,741,977,755,0,7,1,2,192,178000
103,7018,5,5,0,1535,0,0,8,0,2,0,118964
104,10402,7,5,1226,1226,0,0,6,0,3,0,198900
105,7758,7,4,1040,1226,592,0,7,2,1,0,169500
106,9375,8,5,1053,1053,939,0,9,1,2,140,250000
107,10800,4,7,641,1047,0,0,6,0,1,0,100000
108,6000,5,5,789,789,0,0,5,0,1,0,115000
109,8500,5,7,793,997,520,0,7,0,0,0,115000
110,11751,6,6,1844,1844,0,0,7,1,2,0,190000
111,9525,6,4,994,1216,639,0,7,0,1,182,136900
112,7750,7,5,384,774,656,0,7,1,2,180,180000
113,9965,7,5,1264,1282,1414,1,10,1,3,120,383970
114,21000,6,5,1809,2259,0,1,7,2,2,166,217000
115,7259,6,8,1028,1436,884,1,9,1,1,224,259500
116,3230,6,5,729,729,729,0,5,1,2,0,176000
117,11616,5,5,1092,1092,0,0,6,1,1,0,139000
118,8536,5,5,1125,1125,0,0,5,0,2,80,155000
119,12376,7,5,1673,1699,1523,1,11,2,3,367,320000
120,8461,6,5,728,728,728,0,8,1,2,0,163990
121,21453,6,5,938,988,0,1,4,2,2,0,180000
122,6060,4,5,732,772,351,0,4,0,1,0,100000
123,9464,6,7,1080,1080,0,0,5,0,1,0,136000
124,7892,6,5,1199,1199,0,0,5,0,2,0,153900
125,17043,6,5,1362,1586,0,0,7,1,2,192,181000
126,6780,6,8,520,520,0,1,5,0,0,53,84500
127,4928,6,5,1078,958,0,0,5,1,2,0,128000
128,4388,5,7,672,840,0,0,5,1,0,0,87000
129,7590,6,5,660,660,688,0,6,1,2,188,155000
130,8973,5,7,1008,1053,0,0,6,0,2,0,150000
131,14200,7,6,924,1216,941,0,8,2,2,105,226000
132,12224,6,5,992,1022,1032,1,7,1,2,24,244000
133,7388,5,6,1063,1327,0,1,7,0,2,0,150750
134,6853,8,5,1267,1296,0,1,6,0,2,192,220000
135,10335,5,6,1461,1721,0,0,7,1,2,0,180000
136,10400,7,6,1304,1682,0,0,7,1,2,98,174000
137,10355,5,5,1214,1214,0,0,5,1,1,0,143000
138,11070,7,5,1907,1959,0,0,9,0,3,0,171000
139,9066,8,5,1004,1004,848,0,7,2,3,224,230000
140,15426,6,5,928,928,836,1,7,0,2,276,231500
141,10500,4,5,864,864,0,0,5,1,0,0,115000
142,11645,7,5,1734,1734,0,1,7,0,2,160,260000
143,8520,5,4,910,910,475,0,6,0,2,0,166000
144,10335,7,5,1490,1501,0,1,6,0,2,144,204000
145,9100,5,5,1728,1728,0,1,10,0,2,0,125000
146,2522,6,5,970,970,739,0,7,0,2,0,130000
147,6120,5,7,715,875,0,1,5,0,1,48,105000
148,9505,7,5,884,884,1151,0,8,1,2,144,222500
149,7500,7,5,1080,1080,0,1,6,0,0,0,141000
150,6240,5,4,896,896,448,0,7,0,1,200,115000
151,10356,5,6,969,969,0,0,5,0,2,0,122000
152,13891,8,5,1710,1710,0,1,6,1,3,0,372402
153,14803,6,5,825,1097,896,0,8,1,2,0,190000
154,13500,6,7,1602,1252,0,1,4,1,2,409,235000
155,11340,6,5,1200,1200,0,0,7,0,1,0,125000
156,9600,6,5,572,572,524,0,5,0,0,0,79000
157,7200,5,7,0,1040,0,0,5,0,2,0,109500
158,12003,8,5,774,774,1194,0,8,1,3,0,269500
159,12552,7,5,991,991,956,0,8,1,2,0,254900
160,19378,7,5,1392,1392,1070,1,9,1,2,239,320000
161,11120,6,6,1232,1232,0,0,6,0,2,0,162500
162,13688,9,5,1572,1572,1096,1,10,2,3,400,412500
163,12182,7,5,1541,1541,0,0,7,1,2,0,220000
164,5500,4,6,882,882,0,0,4,0,0,0,103200
165,5400,6,7,1149,1149,467,0,5,0,1,0,152000
166,10106,5,7,644,808,547,1,6,0,0,140,127500
167,10708,5,5,1617,1867,0,1,7,3,1,476,190000
168,10562,8,5,1582,1610,551,1,8,1,3,178,325624
169,8244,7,5,840,840,880,0,7,1,2,100,183500
170,16669,8,6,1686,1707,0,0,6,1,2,574,228000
171,12358,5,6,720,854,0,0,7,0,2,237,128500
172,31770,6,5,1080,1656,0,1,7,2,2,210,215000
173,5306,7,7,1064,1064,703,1,5,1,2,441,239000
174,10197,6,5,1362,1362,0,1,6,1,2,0,163000
175,12416,6,5,1606,1651,0,1,7,1,2,192,184000
176,12615,6,7,1202,2158,0,1,7,1,2,0,243000
177,10029,6,5,1151,1164,896,0,8,1,2,0,211000
178,13650,5,5,1052,1252,668,1,8,1,2,0,172500
179,17423,9,5,2216,2234,0,1,9,1,3,0,501837
180,8520,5,6,968,968,0,0,5,0,2,0,100000
181,2117,6,5,756,769,756,0,5,1,2,0,177000
182,7588,7,6,793,901,901,0,9,1,1,0,200100
183,9060,5,6,0,1340,0,0,7,1,1,116,120000
184,11426,7,5,1362,1362,720,0,6,0,2,280,200000
185,7438,5,8,504,936,316,0,5,0,2,104,127000
186,22950,10,9,1107,1518,1518,0,12,2,3,0,475000
187,9947,7,5,1188,1217,0,1,6,0,2,168,173000
188,10410,5,7,660,808,704,0,8,0,1,0,135000
189,7018,5,5,1086,1224,0,2,6,2,2,120,153337
190,4923,8,5,1593,1593,0,1,5,1,2,0,286000
191,10570,8,8,853,1549,1178,0,10,2,2,0,315000
192,7472,7,9,725,725,754,1,7,0,2,0,184000
193,9017,7,5,1431,1431,0,1,6,0,2,0,192000
194,2522,7,5,970,970,739,0,7,0,2,0,130000
195,7180,5,7,864,864,0,0,5,0,1,0,127000
196,2280,6,6,855,855,601,0,7,1,2,87,148500
197,9416,7,5,1726,1726,0,1,8,1,3,171,311872
198,25419,8,4,1360,1360,1360,1,8,1,2,0,235000
199,5520,6,6,755,929,929,0,8,0,0,0,104000
200,9591,8,5,1713,1713,0,1,7,1,3,0,274900
201,8546,4,5,1121,1121,0,0,5,0,2,132,140000
202,10125,6,6,1196,1279,0,0,6,2,2,238,171500
203,7000,6,6,617,865,445,0,6,0,1,0,112000
204,4438,6,5,848,848,0,1,3,1,2,149,149000
205,3500,5,7,720,720,564,0,5,0,1,0,110000
206,11851,7,5,1424,1442,0,0,5,0,2,0,180500
207,13673,5,5,1140,1696,0,0,8,1,1,0,143900
208,12493,4,5,1100,1100,0,1,6,1,1,355,141000
209,14364,7,5,1157,1180,882,1,7,1,2,60,277000
210,8250,6,7,1092,1092,0,1,6,0,2,0,145000
211,5604,5,6,864,864,0,1,5,0,0,0,98000
212,10420,6,5,1212,1212,0,0,6,0,2,100,186000
213,8640,7,5,900,932,920,1,7,1,2,168,252678
214,13568,5,5,990,990,0,0,5,0,2,224,156000
215,10900,6,7,689,689,703,0,6,0,1,0,161750
216,10011,5,6,1070,1236,0,0,6,1,1,0,134450
217,8450,7,5,1436,1436,0,1,8,0,2,139,210000
218,9906,4,4,686,810,518,0,8,0,1,0,107000
219,15660,7,9,798,1137,817,0,8,2,2,0,311500
220,3010,7,5,1248,1248,0,0,5,0,2,108,167240
221,8990,7,5,1498,1498,0,0,5,0,2,351,204900
222,8068,6,5,1010,1010,1257,0,8,1,2,120,200000
223,11475,6,6,713,811,741,1,6,1,2,209,179900
224,10500,4,6,864,864,0,0,4,0,2,216,97000
225,13472,10,5,2392,2392,0,0,8,1,3,248,386250
226,1680,5,5,630,630,672,0,6,0,1,0,112000
227,9950,7,5,1203,1214,1306,0,9,1,3,224,290000
228,1869,6,6,483,483,504,0,5,0,1,0,106000
229,8521,5,5,912,912,0,0,5,1,1,0,125000
230,3182,7,5,1373,1555,0,0,7,1,2,143,192500
231,8760,6,6,1194,1194,0,1,6,0,1,0,148000
232,15138,8,5,1462,1490,1304,1,9,1,3,0,403000
233,1680,6,5,483,483,504,0,5,1,1,0,94500
234,10650,5,6,894,894,0,1,5,0,1,365,128200
235,7851,6,5,860,860,1100,1,8,2,2,288,216500
236,1680,6,3,483,483,504,0,5,0,1,0,89500
237,8773,7,5,1414,1414,0,0,6,0,2,132,185500
238,9453,7,7,996,1014,730,0,7,0,2,370,194500
239,12030,8,5,1694,1694,0,0,7,0,3,168,318000
240,8741,6,4,735,798,689,0,7,1,1,0,113000
241,9000,8,5,1566,1566,0,1,7,0,2,144,262500
242,3880,5,9,686,866,0,0,4,0,0,58,110500
243,5000,5,4,540,889,551,0,6,0,1,0,79000
244,10762,6,6,626,626,591,0,6,1,1,0,120000
245,8880,7,5,948,1222,888,1,8,2,2,0,205000
246,10400,7,5,1845,1872,0,0,6,1,2,197,241500
247,9142,6,8,1020,908,1020,0,9,0,1,0,137000
248,11310,6,5,1367,1375,0,0,5,1,2,0,140000
249,11317,7,5,840,840,828,0,8,0,2,144,180000
250,159000,6,7,1444,1444,700,0,7,2,2,0,277000
251,5350,3,2,728,1306,0,0,6,0,0,263,76500
252,4750,8,5,1573,1625,0,1,5,1,2,123,235000
253,8366,6,5,798,798,842,0,6,0,2,138,173000
254,9350,6,7,1302,1302,0,0,7,0,1,333,158000
255,8400,5,6,1314,1314,0,1,5,0,1,250,145000
256,8738,7,5,975,1005,1286,0,8,1,2,192,230000
257,8791,6,5,864,864,864,0,7,0,2,216,207500
258,8814,7,5,1604,1604,0,1,8,1,2,123,220000
259,12435,7,5,963,963,829,0,7,1,2,0,231500
260,12702,5,5,0,882,0,0,4,0,1,0,97000
261,19296,6,5,1362,1382,0,1,6,1,2,0,176000
262,9588,8,5,1482,1482,1092,0,10,1,3,0,276000
263,8471,6,7,506,1212,0,1,6,1,2,292,151000
264,5500,5,7,926,926,0,1,6,0,2,0,130000
265,5232,5,5,680,764,0,0,4,0,2,0,73000
266,12090,6,6,1422,1422,0,0,7,1,2,276,175500
267,11207,6,5,802,802,709,1,8,1,2,95,185000
268,8400,5,8,720,1052,720,0,8,1,1,262,179500
269,6900,5,6,740,778,0,0,4,1,1,0,120500
270,7917,6,7,1143,1113,0,1,6,1,1,370,148000
271,10728,8,5,1095,1095,844,0,8,1,3,192,266000
272,39104,7,7,1385,1363,0,1,5,2,2,81,241500
273,11764,8,7,1152,1164,1106,0,9,1,3,132,290000
274,9600,6,6,1240,1632,0,1,6,1,1,289,139000
275,8314,5,7,816,816,0,0,5,0,1,168,124500
276,7264,7,7,952,952,596,0,5,0,2,74,205000
277,9196,7,5,1560,1560,0,0,7,0,2,100,201000
278,19138,4,5,864,864,0,0,4,0,2,0,141000
279,14450,9,5,2121,2121,0,0,8,1,3,124,415298
280,10005,7,5,1160,1156,866,0,8,1,2,288,192000
281,11287,7,6,807,1175,807,0,7,1,2,0,228500
282,7200,6,5,1262,1262,0,0,5,0,2,0,185000
283,5063,7,5,1314,1314,0,1,6,1,2,172,207500
284,9612,8,5,1468,1468,0,0,6,1,3,210,244600
285,8012,6,5,1575,1575,0,1,5,0,2,0,179200
286,4251,7,5,625,625,625,0,5,0,2,0,164700
287,9786,6,7,912,1085,649,0,7,1,2,0,159000
288,8125,4,4,858,858,0,0,5,0,0,0,88000
289,9819,5,5,882,900,0,0,5,0,1,0,122000
290,8730,6,7,698,698,698,0,7,0,1,0,153575
291,15611,8,5,1079,1079,840,0,8,1,2,0,233230
292,5687,5,6,780,936,780,1,9,0,0,0,135900
293,11409,5,4,768,1148,568,0,8,1,1,0,131000
294,16659,7,7,795,1468,795,1,9,1,2,0,235000
295,9600,6,5,1416,1644,0,1,7,2,2,110,167000
296,7937,6,6,1003,1003,0,1,6,0,2,120,142500
297,13710,5,5,910,910,648,0,6,0,1,289,152000
298,7399,7,5,975,975,975,0,7,1,2,0,239000
299,11700,6,6,702,1041,702,0,7,1,2,224,175000
300,14000,6,8,1092,1152,0,0,6,1,1,0,158500
301,15750,5,5,1165,1336,0,1,5,2,1,0,157000
302,16226,8,5,1028,1210,1242,0,9,1,2,208,267000
303,13704,7,5,1541,1541,0,0,6,1,3,468,205000
304,9800,5,7,894,894,0,1,5,0,2,256,149900
305,18386,7,9,1470,1675,1818,0,10,1,3,302,295000
306,10386,8,5,2000,2000,0,1,8,0,3,168,305900
307,13474,7,5,700,1122,1121,1,8,1,3,127,225000
308,7920,6,7,319,1035,371,0,6,0,0,0,89500
309,12342,4,5,861,861,0,0,4,0,2,158,82500
310,12378,9,5,1896,1944,0,1,8,3,3,208,360000
311,7685,6,5,697,697,804,0,6,1,2,190,165600
312,8000,6,6,972,972,0,1,5,1,1,0,132000
313,7800,5,7,793,793,325,1,5,1,2,0,119900
314,215245,7,5,2136,2036,0,2,8,2,2,0,375000
315,9600,7,7,728,832,809,0,6,1,2,0,178000
316,7795,7,5,716,716,716,1,6,1,2,100,188500
317,13005,7,7,845,1153,1200,1,10,1,2,288,260000
318,9000,8,5,1088,1088,871,0,8,1,3,208,270000
319,9900,7,5,1347,1372,1274,1,9,1,3,340,260000
320,14115,7,5,1372,1472,0,1,6,2,2,233,187500
321,16259,9,5,1249,1249,1347,0,9,0,3,240,342643
322,12099,8,5,1136,1136,1332,1,10,1,3,184,354000
323,10380,7,5,1502,1553,1177,1,8,1,2,201,301000
324,5820,3,8,1162,1163,0,1,6,0,1,142,126175
325,11275,7,7,710,1898,1080,0,11,1,2,240,242000
326,5000,5,6,720,803,0,0,5,0,2,0,87000
327,10846,8,5,1719,1719,0,2,6,2,2,122,324000
328,11600,6,5,1383,1383,0,0,7,0,1,0,145250
329,11888,6,6,844,1445,689,0,10,0,2,0,214500
330,6402,5,5,596,596,596,0,6,0,1,0,78000
331,10624,5,4,1728,1728,0,0,10,0,1,155,119000
332,8176,5,6,1056,1056,0,1,6,0,1,0,139000
333,10655,8,5,3206,1629,0,1,7,1,3,0,284000
334,8198,7,5,1358,1358,0,1,6,1,2,192,207000
335,9042,6,5,943,943,695,1,7,2,2,100,192000
336,164660,5,6,1499,1619,167,2,7,2,2,670,228950
337,14157,9,5,1922,1922,0,1,8,1,3,178,377426
338,9135,7,5,1536,1536,0,1,7,0,2,192,214000
339,14145,7,7,1208,1621,0,1,8,0,2,108,202500
340,12400,6,7,1215,1215,0,0,6,0,1,0,155000
341,14191,8,5,967,993,915,0,9,0,2,135,202900
342,8400,4,4,721,841,0,0,4,0,1,250,82000
343,8544,3,4,0,1040,0,0,6,0,2,0,87500
344,8849,9,5,1684,1684,0,0,6,1,2,495,266000
345,2592,5,3,536,536,576,0,4,0,1,182,85000
346,6435,6,5,972,972,605,0,6,1,1,0,140200
347,12772,6,8,958,958,0,0,5,0,1,0,151500
348,17600,6,5,1478,1478,0,1,6,2,2,0,157500
349,2448,7,5,764,764,862,1,6,0,2,0,154000
350,20431,9,5,1848,1848,880,1,10,2,3,0,437154
351,7820,9,5,1869,1869,0,0,6,1,2,210,318061
352,5271,7,5,1453,1453,0,1,6,1,2,0,190000
353,9084,5,6,616,616,495,0,5,0,1,48,95000
354,8520,6,8,624,720,0,0,5,0,2,106,105900
355,8400,6,5,940,1192,403,0,6,2,1,0,140000
356,11249,6,5,1200,1200,0,1,6,0,2,0,177500
357,9248,6,6,1158,1167,0,1,6,0,2,120,173000
358,4224,5,5,1142,1142,0,1,6,1,2,536,134000
359,6930,5,4,1062,1352,0,0,6,0,1,168,130000
360,12011,8,5,1086,1086,838,1,7,1,2,208,280000
361,7540,6,6,888,912,0,1,5,1,2,0,156000
362,9144,5,5,883,988,517,1,8,0,1,0,145000
363,7301,7,5,0,495,1427,0,7,1,2,0,198500
364,1680,6,8,483,483,504,0,5,0,1,250,118000
365,18800,6,5,796,790,784,1,6,1,2,306,190000
366,10690,5,7,672,672,672,0,6,0,1,0,147000
